,epochs,precision,recall,fscore,support
0,0,0.9179212989336738,0.9167442528634524,0.9166274829381406,1000.0
1,1,0.9411389645589197,0.9409114614920636,0.9407899384024102,1000.0
2,2,0.9577204459875815,0.9576774426998022,0.9575234207050258,1000.0
3,3,0.966950582937549,0.9669150490055612,0.9668583988817557,1000.0
4,4,0.9717470822548379,0.9717778818965053,0.9717341030066967,1000.0
5,5,0.9733357888271825,0.9734534265539818,0.9733494859839615,1000.0
6,6,0.9769352245086512,0.9771786691393285,0.9770048388705496,1000.0
7,7,0.97790347754638,0.9780419729133019,0.9779549201003931,1000.0
8,8,0.9781486356880453,0.9779998458368757,0.9780400612689004,1000.0
9,9,0.9795713676231601,0.9796630973278113,0.979597981658744,1000.0
10,10,0.9814390583453415,0.9813972325614468,0.9813969943519035,1000.0
11,11,0.9804301447751331,0.9801772839485278,0.9802571161299042,1000.0
12,12,0.9822502821772756,0.9823243779181485,0.9822505551055579,1000.0
13,13,0.9827168075754436,0.9827886772242256,0.9827290186272265,1000.0
14,14,0.9827563245217427,0.9828140096833687,0.9827596669465649,1000.0
15,15,0.9834004887392579,0.9836034934944008,0.9834863807862526,1000.0
16,16,0.9834725226443732,0.9836722092239973,0.9835469356569175,1000.0
17,17,0.9828059324312186,0.9828810898622529,0.9828182656725784,1000.0
18,18,0.9843259180265516,0.9840813030854765,0.984179756893351,1000.0
19,19,0.983039089522187,0.983391069728061,0.9831868668596446,1000.0
20,20,0.9841165147179739,0.9842720492480845,0.9841787717268142,1000.0
21,21,0.9843630501687237,0.9845907257497369,0.9844634844709572,1000.0
22,22,0.9847763326047179,0.9848094851017171,0.9847737682105961,1000.0
23,23,0.9842442676567519,0.9843252733610732,0.9842578378368467,1000.0
24,24,0.9855310932853886,0.9856389918067594,0.9855711162307136,1000.0
25,25,0.9850081212790084,0.9851345142465284,0.9850501415153247,1000.0
26,26,0.9845493879012567,0.9846063944053649,0.9845433989433674,1000.0
27,27,0.9844051145795218,0.9845055836837868,0.9843979927750132,1000.0
28,28,0.9845865448990547,0.9846233939284058,0.9845676152221587,1000.0
29,29,0.9843235787806346,0.9842761534997795,0.9842747697277481,1000.0
